total_examples, overall_accuracy, false_positives_num, false_negatives_num, true_negatives_num, true_positives_num, threshold
728160, 0.8048313114853038, 18280, 7590, 62138, 44544, 0.7091633
728160, 0.8308437443418432, 15321, 7101, 65097, 45033, 0.7091633
