Trials
trial_id, time, epochs, val_acc, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 62, 20, 0.959036, 0.118025, 0.114572, 0.004427, 64, 0.368585, 0.325898, 0.856779, 36539, 26418, 7793, 2731, 0.245117, 0.955566, 10111, 15222, 862, 316, 0.256836
1, 23, 14, 0.948728, 0.122516, 0.118768, 0.003900, 128, 0.418333, 0.456415, 0.833399, 36874, 24365, 9846, 2396, 0.241211, 0.948135, 9993, 15143, 941, 434, 0.252930
2, 0, 0, 0, 0, 0, 0.003443, 256, 0.487909, 0.144331, FAIL
3, 0, 0, 0, 0, 0, 0.000358, 256, 0.206331, 0.242223, FAIL
4, 0, 0, 0, 0, 0, 0.008726, 128, 0.187318, 0.291916, FAIL
5, 53, 12, 0.951028, 0.121271, 0.118375, 0.004311, 32, 0.344185, 0.263950, 0.791157, 36708, 21427, 12784, 2562, 0.249023, 0.942665, 10025, 14966, 1118, 402, 0.254883
6, 0, 0, 0, 0, 0, 0.004700, 128, 0.166757, 0.052654, FAIL
7, 67, 15, 0.960824, 0.113082, 0.110306, 0.000292, 32, 0.129493, 0.041067, 0.854711, 36602, 26203, 8008, 2668, 0.261099, 0.969145, 10171, 15522, 562, 256, 0.257270
8, 0, 0, 0, 0, 0, 0.002335, 256, 0.221877, 0.454251, FAIL
9, 0, 0, 0, 0, 0, 0.005705, 32, 0.046130, 0.104711, FAIL
10, 0, 0, 0, 0, 0, 0.000360, 32, 0.255310, 0.146762, FAIL
11, 18, 13, 0.938737, 0.122945, 0.117628, 0.003263, 256, 0.472874, 0.375116, 0.868878, 37002, 26844, 7367, 2268, 0.252930, 0.949229, 10024, 15141, 943, 403, 0.256836
12, 0, 0, 0, 0, 0, 0.007371, 256, 0.188121, 0.352663, FAIL
13, 0, 0, 0, 0, 0, 0.009717, 256, 0.355115, 0.229613, FAIL
14, 0, 0, 0, 0, 0, 0.009563, 128, 0.443487, 0.034351, FAIL
15, 12, 11, 0.941152, 0.127399, 0.120196, 0.006509, 512, 0.456281, 0.093042, 0.837822, 36597, 24967, 9244, 2673, 0.254883, 0.939723, 9933, 14980, 1104, 494, 0.252930
16, 50, 11, 0.952428, 0.123966, 0.119777, 0.006346, 32, 0.005545, 0.445918, 0.786639, 35567, 22236, 11975, 3703, 0.249023, 0.938742, 9958, 14929, 1155, 469, 0.250977
17, 38, 12, 0.951920, 0.119729, 0.117296, 0.002830, 64, 0.277104, 0.408997, 0.844177, 36648, 25383, 8828, 2622, 0.252930, 0.948550, 10030, 15117, 967, 397, 0.252930
18, 0, 0, 0, 0, 0, 0.002815, 64, 0.182012, 0.113995, FAIL
19, 0, 0, 0, 0, 0, 0.009472, 64, 0.270755, 0.249880, FAIL
Best model
{'batch_size': 32, 'first_dropout_rate': 0.1294929579149945, 'first_dropout_rate_1': 0.041066807064350896, 'lr': 0.0002921490956005647}
