total_examples, overall_accuracy, false_positives_num, false_negatives_num, true_negatives_num, true_positives_num, threshold
300000, 0.9361059321457248, 1979, 2716, 32232, 36554, 0.6718836
300000, 0.9617996488888284, 854, 1953, 33357, 37317, 0.6718836
