total_examples, overall_accuracy, false_positives_num, false_negatives_num, true_negatives_num, true_positives_num, threshold
300000, 0.9407601965133844, 1490, 2863, 32721, 36407, 0.45882082
300000, 0.9651474530831099, 388, 2173, 33823, 37097, 0.45882082
