total_examples, overall_accuracy, false_positives_num, false_negatives_num, true_negatives_num, true_positives_num, threshold
300000, 0.8880254759733809, 3464, 4764, 30747, 34506, 0.50371534
300000, 0.9066153155237409, 2630, 4232, 31581, 35038, 0.50371534
