total_examples, overall_accuracy, false_positives_num, false_negatives_num, true_negatives_num, true_positives_num, threshold
300000, 0.9302812972060804, 1723, 3400, 32488, 35870, 0.66574764
300000, 0.9559069691484874, 417, 2823, 33794, 36447, 0.66574764
